Program identifier,Target name,Right Ascension,Declination,Instrument,Dispersive Element,Phase Start,Phase End,Observing Mode,Scan Rate,Visit identifier,Date/Time Start,Date/Time End,Orbits,Status,PI name,Proprietary Period (Months),Direct image,White light curve,XY drift map
13467,WASP-18,01:37:25.0341,-45:40:40.39,WFC3/IR,G141,0.29800,0.32000,Reverse,0.300,22,Jun 28 2014 15:11:27,Jun 28 2014 20:50:56,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-18,01:37:25.0341,-45:40:40.39,WFC3/IR,G141,0.28000,0.32000,Reverse,0.300,25,Aug 25 2014 23:26:37,Aug 27 2014 04:59:16,19,Archived,Bean,0,N/A,N/A,N/A
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.80700,0.83300,Forward,0.050,30,Nov 09 2013 06:07:59,Nov 09 2013 11:49:33,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.80700,0.83300,Forward,0.050,31,Nov 15 2013 18:23:18,Nov 16 2013 00:05:37,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.80700,0.83300,Forward,0.050,32,Nov 19 2013 00:29:34,Nov 19 2013 06:12:32,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.30700,0.33300,Forward,0.080,34,Nov 08 2013 20:33:53,Nov 09 2013 02:15:24,4,Failed,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.30700,0.33300,Forward,0.080,53,Dec 05 2013 16:37:26,Dec 05 2013 22:20:17,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.30700,0.33300,Forward,0.080,35,Nov 12 2013 02:42:04,Nov 12 2013 08:23:57,4,Archived,Bean,0,Yes,Yes,Yes
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.23000,0.67000,Forward,0.080,37,Nov 04 2013 08:02:03,Nov 05 2013 05:49:01,14,Archived,Bean,0,N/A,N/A,N/A
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.23000,0.67000,Forward,0.080,38,Nov 05 2013 11:08:49,Nov 06 2013 08:52:17,14,Archived,Bean,0,N/A,N/A,N/A
13467,WASP-43,10:19:38.0080,-09:48:22.59,WFC3/IR,G141,0.23000,0.67000,Forward,0.080,39,Nov 06 2013 15:51:19,Nov 07 2013 11:58:45,13,Archived,Bean,0,N/A,N/A,N/A
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,0.44500,0.45100,Forward,1.150,60,Sep 16 2014 09:37:06,Sep 16 2014 10:33:54,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,61,Sep 16 2014 11:12:39,Sep 16 2014 12:09:27,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,62,Sep 16 2014 12:48:11,Sep 16 2014 13:44:59,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,63,Sep 16 2014 14:23:44,Sep 16 2014 15:20:32,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,64,Sep 16 2014 15:59:16,Sep 16 2014 16:56:04,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,0.44500,0.45100,Forward,1.150,65,Oct 18 2014 02:56:40,Oct 18 2014 03:53:28,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,66,Oct 18 2014 04:32:12,Oct 18 2014 05:29:00,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,67,Oct 18 2014 06:07:44,Oct 18 2014 07:04:32,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,68,Oct 18 2014 07:43:16,Oct 18 2014 08:40:04,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,69,Oct 18 2014 09:18:48,Oct 18 2014 10:15:36,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,0.44500,0.45100,Forward,1.150,70,Nov 15 2014 07:41:10,Nov 15 2014 08:37:58,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,71,Nov 15 2014 09:11:02,Nov 15 2014 10:07:50,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,72,Nov 15 2014 10:46:33,Nov 15 2014 11:43:21,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,73,Nov 15 2014 12:22:04,Nov 15 2014 13:18:52,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,74,Nov 15 2014 13:57:35,Nov 15 2014 14:54:23,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,0.44500,0.45100,Forward,1.150,75,Dec 09 2014 23:58:02,Dec 10 2014 00:54:50,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,76,Dec 10 2014 01:33:33,Dec 10 2014 02:30:21,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,77,Dec 10 2014 03:09:03,Dec 10 2014 04:05:51,1,Archived,Bean,0,Yes,Yes,Yes
